Network,id,ocpi_id,Name,Address,State,Latitude,Longitude,POI,Utility,kilowatts_,kilowatts1,F__station,F__DCFCs,F__CCS,F__CHAdeMO,NAME_1,NAMELSAD
Non-networked,1367,,Nissan of Elk Grove,"8590 Laguna Grove Dr., Elk Grove, CA 95757",CA,38.40247,-121.386261,Nissan Dealership,Sacramento Municipal Utility District,,,1,1,0,1,"Sacramento--Roseville--Arden-Arcade, CA","Sacramento--Roseville--Arden-Arcade, CA Metro Area"
Non-networked,1376,,Dublin Nissan,"6450 Dublin Ct., Dublin, CA, 94568",CA,37.702812,-121.911659,Nissan Dealership,Pacific Gas & Electric Company,50,50,1,1,0,1,"San Francisco-Oakland-Hayward, CA","San Francisco-Oakland-Hayward, CA Metro Area"
Non-networked,1379,326,Serramonte Nissan,"650 Serramonte Blvd, Colma, CA, 94014",CA,37.675484,-122.461205,Nissan Dealership,Pacific Gas & Electric Company,24,24,1,1,0,1,"San Francisco-Oakland-Hayward, CA","San Francisco-Oakland-Hayward, CA Metro Area"
Non-networked,1390,,Nissan of Sacramento,"2820 Auburn Blvd, Sacramento, CA 95821",CA,38.631405,-121.396667,Nissan Dealership,Sacramento Municipal Utility District,50,50,1,1,0,1,"Sacramento--Roseville--Arden-Arcade, CA","Sacramento--Roseville--Arden-Arcade, CA Metro Area"
Non-networked,1392,,Future Nissan of Folsom,"12610 Auto Mall Cir, Folsom, CA 95630",CA,38.634239,-121.204231,Nissan Dealership,Sacramento Municipal Utility District,,,1,1,0,1,"Sacramento--Roseville--Arden-Arcade, CA","Sacramento--Roseville--Arden-Arcade, CA Metro Area"
Non-networked,1394,,Future Nissan,"600 Automall Dr, Roseville, CA 95661",CA,38.752209,-121.256452,Nissan Dealership,Roseville Electric,,,1,1,0,1,"Sacramento--Roseville--Arden-Arcade, CA","Sacramento--Roseville--Arden-Arcade, CA Metro Area"
Non-networked,1397,,MY Nissan,"222 Auto Center Cir, Salinas, CA 93907",CA,36.72002,-121.662505,Nissan Dealership,Pacific Gas & Electric Company,50,50,1,1,0,1,"Salinas, CA","Salinas, CA Metro Area"
Non-networked,1398,,Cardinale Nissan,"1661 Del Monte Blvd, Seaside, CA 93955",CA,36.610912,-121.850067,Nissan Dealership,Pacific Gas & Electric Company,50,50,1,1,0,1,"Salinas, CA","Salinas, CA Metro Area"
Non-networked,1400,,Chico Nissan,"575 Manzanita Ave, Chico, CA 95926",CA,39.756817,-121.843781,Nissan Dealership,Pacific Gas & Electric Company,50,50,1,1,0,1,"Chico, CA","Chico, CA Metro Area"
Non-networked,1415,,Cerritos Nissan,"18707 Studebaker Rd, Cerritos CA 90703",CA,33.861263,-118.100609,Nissan Dealership,City of Cerritos,,,1,1,0,1,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA Metro Area"
